S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déplacement[mm]
674;67.40004864;9.860280037;1.834321737
675;67.50007296;9.923663139;1.836616397
676;67.60009728;9.996325493;1.839366794
677;67.7001216;10.0886898;1.842442632
678;67.80002304;10.13378143;1.844298005
679;67.90004736;10.2284584;1.847731829
680;68.00007168;10.30170536;1.850352049
681;68.100096;10.36686993;1.852890849
682;68.20012032;10.46051025;1.856210828
683;68.30002176;10.50538921;1.858196378
684;68.40004608;10.59663582;1.861581445
685;68.5000704;10.68923855;1.864917636
686;68.60009472;10.73326683;1.867082119
687;68.70011904;10.81629848;1.870418429
688;68.80002048;10.91368771;1.873998761
689;68.9000448;10.96999836;1.876618981
690;69.00006912;11.03673267;1.8796134
691;69.10009344;11.13116932;1.883356571
692;69.20011776;11.21231365;1.886627674
693;69.3000192;11.26320171;1.889150262
694;69.40004352;11.34330845;1.892600417
