S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
158;15.8000332800002;9.39707946777344;0.0220999997109175;1.43531560897827;200.0;100.0;0.0;10.8459815382957;1.06623446941376
159;15.9000576000003;9.44844532012939;0.0238000005483627;1.44365084171295;200.0;100.0;0.0;11.4507474005222;1.0727117061615
160;16.00008192;9.49707317352295;0.0236000008881092;1.45197594165802;200.0;100.0;0.0;11.3908313214779;1.07953071594238
161;16.1001062400001;9.54910469055176;0.0251000002026558;1.46031129360199;200.0;100.0;0.0;10.8690276741982;1.08592653274536
162;16.20000768;9.60179996490479;0.0252000000327826;1.46864664554596;200.0;100.0;0.0;7.22004249691963;1.09276175498962
163;16.3000320000001;9.64269065856934;0.0265999995172024;1.47698199748993;200.0;100.0;0.0;5.79380616545677;1.09912514686584
164;16.4000563200002;9.70450592041016;0.0270000007003546;1.4853173494339;200.0;100.0;0.0;5.47002553939819;1.10615563392639
165;16.5000806400003;9.74672603607178;0.0285000000149012;1.49364244937897;200.0;100.0;0.0;10.617783665657;1.11264908313751
166;16.60010496;9.79891681671143;0.0283000003546476;1.50197780132294;200.0;100.0;0.0;11.2016797065735;1.11937046051025
167;16.7000063999999;9.84196090698242;0.029899999499321;1.51031315326691;200.0;100.0;0.0;11.4326931536198;1.12573373317719
168;16.80003072;9.89883136749268;0.0296999998390675;1.51864838600159;200.0;100.0;0.0;11.2125262618065;1.13258528709412
169;16.9000550400001;9.93528175354004;0.0306000001728535;1.52698373794556;200.0;100.0;0.0;9.83371138572693;1.13872075080872
170;17.0000793600002;9.99627304077148;0.0307000000029802;1.53530883789063;200.0;100.0;0.0;8.00149664282799;1.14573502540588
171;17.1001036800003;10.0303840637207;0.031199999153614;1.54364418983459;200.0;100.0;0.0;5.00436387956142;1.15177285671234
172;17.2000051200002;10.101770401001;0.031700000166893;1.55197954177856;200.0;100.0;0.0;2.61373464018106;1.1591614484787
173;17.3000294400003;10.1369981765747;0.0320000015199184;1.56031489372253;200.0;100.0;0.0;5.8182880282402;1.16528058052063
174;17.40005376;10.2040777206421;0.0322999991476536;1.5686502456665;200.0;100.0;0.0;9.36975255608559;1.17260408401489
175;17.5000780800001;10.2322063446045;0.032600000500679;1.57697534561157;200.0;100.0;0.0;9.94816273450851;1.17854428291321
176;17.6001024000002;10.3045234680176;0.0329000018537045;1.58531057834625;200.0;100.0;0.0;10.2382451295853;1.18586778640747
177;17.7000038400001;10.338475227356;0.033100001513958;1.59364593029022;200.0;100.0;0.0;8.992750197649;1.1920520067215
178;17.8000281600002;10.4015130996704;0.033100001513958;1.60198128223419;200.0;100.0;0.0;5.66497333347797;1.19916391372681
179;17.9000524800003;10.4463653564453;0.0337000004947186;1.61031663417816;200.0;100.0;0.0;3.79541553556919;1.20568990707397
180;18.0000768;10.5075426101685;0.0337000004947186;1.61864173412323;200.0;100.0;0.0;3.54630872607231;1.21268796920776
181;18.1001011200001;10.5527410507202;0.034400001168251;1.6269770860672;200.0;100.0;0.0;7.51199945807457;1.21931159496307
182;18.20000256;10.60280418396;0.0342000015079975;1.63531243801117;200.0;100.0;0.0;9.19638648629189;1.22611439228058
183;18.3000268800001;10.6629180908203;0.0353999994695187;1.64364778995514;200.0;100.0;0.0;10.0956551730633;1.23296582698822
184;18.4000512000002;10.7063341140747;0.0348000004887581;1.65198302268982;200.0;100.0;0.0;10.705541819334;1.23973608016968
185;18.5000755200003;10.7658100128174;0.0359999984502792;1.66030812263489;200.0;100.0;0.0;9.39382687211037;1.2464736700058
186;18.60009984;10.8017559051514;0.0353999994695187;1.66864347457886;200.0;100.0;0.0;7.09837004542351;1.25304853916168
187;18.7000012799999;10.8594493865967;0.0366000011563301;1.67697882652283;200.0;100.0;0.0;5.11279851198196;1.25970470905304
188;18.8000256;10.9010314941406;0.0359000004827976;1.6853141784668;200.0;100.0;0.0;5.45018836855888;1.26629590988159
189;18.9000499200001;10.9545783996582;0.0373000018298626;1.69364953041077;200.0;100.0;0.0;10.2355636656284;1.27295207977295
190;19.0000742400002;11.0129899978638;0.0368000008165836;1.70197463035584;200.0;100.0;0.0;11.7710612714291;1.28008031845093
191;19.1000985600003;11.0926713943481;0.0384000018239021;1.7103099822998;200.0;100.0;0.0;12.5328809022903;1.28833138942719
192;19.2000000000003;11.1709175109863;0.0388000011444092;1.71864521503448;200.0;100.0;0.0;12.3582571744919;1.29700565338135
