Index,Déplacement [ mm ],Force [ N ]
478,3.89544332671909,71721.9999999602
479,3.8966933267191,71886.3999999602
480,3.9028183267191,72073.99999996
481,3.9075683267191,72245.9999999599
482,3.9124433267191,72433.5999999598
483,3.9185683267191,72597.9999999597
484,3.92344332671909,72793.5999999596
485,3.9258183267191,72973.5999999595
486,3.93306832671909,73184.7999999594
487,3.93919332671909,73317.5999999593
488,3.94281832671909,73497.5999999592
489,3.94881832671909,73669.5999999591
490,3.95244332671909,73841.5999999591
491,3.95731832671909,74037.199999959
492,3.9621933267191,74217.1999999588
493,3.9658183267191,74389.1999999587
494,3.9718183267191,74584.7999999586
495,3.9779433267191,74779.9999999585
496,3.9828183267191,74967.9999999584
497,3.9888183267191,75179.1999999583
498,3.9924433267191,75311.9999999582
499,3.9960683267191,75483.9999999581
500,4.0009433267191,75679.599999958
501,4.00819332671909,75851.5999999579
502,4.01431832671909,76023.5999999578
503,4.01669332671909,76164.3999999578
504,4.02031832671909,76352.3999999577
505,4.02644332671909,76531.9999999576
506,4.03244332671909,76711.9999999575
507,4.0349433267191,76876.3999999574
508,4.0398183267191,77056.3999999573
509,4.0445683267191,77228.3999999572
510,4.0519433267191,77400.3999999571
511,4.0566933267191,77572.399999957
512,4.0591933267191,77705.1999999569
513,4.06406832671909,77877.5999999568
514,4.0688183267191,78065.1999999567
515,4.0724433267191,78245.1999999566
516,4.07856832671909,78456.3999999565
517,4.08219332671909,78643.9999999564
518,4.09194332671909,78807.9999999563
519,4.09431832671909,78980.3999999562
520,4.1004433267191,79144.3999999561
521,4.10519332671909,79332.399999956
522,4.1113183267191,79519.9999999559
523,4.1149433267191,79683.9999999558
524,4.1209433267191,79911.1999999557
525,4.1221933267191,80051.5999999556
526,4.1294433267191,80200.3999999555
527,4.13556832671909,80372.3999999554
528,4.1379433267191,80521.1999999554
529,4.14406832671909,80747.9999999552
530,4.14894332671909,80873.1999999552
531,4.15131832671909,81068.399999955
532,4.15619332671909,81256.399999955
533,4.16344332671909,81459.5999999548
534,4.16706832671909,81623.9999999547
535,4.1731933267191,81787.9999999546
536,4.1779433267191,81952.3999999546
537,4.1791933267191,82108.7999999545
538,4.1864433267191,82288.7999999544
539,4.1925683267191,82460.7999999543
540,4.1961933267191,82648.3999999542
541,4.20106832671909,82812.7999999541
542,4.2070683267191,83008.399999954
543,4.21069332671909,83187.9999999539
544,4.21431832671909,83344.3999999538
545,4.22281832671909,83532.3999999537
546,4.22406832671909,83649.5999999536
547,4.23006832671909,83821.5999999535
548,4.23494332671909,84032.7999999534
549,4.23619332671909,84181.5999999533
550,4.24581832671909,84377.1999999532
551,4.2470683267191,84556.7999999531
552,4.2543183267191,84752.399999953
553,4.2604433267191,84924.3999999529
554,4.2653183267191,85119.9999999528
555,4.2689433267191,85299.9999999527
556,4.2749433267191,85487.5999999526
557,4.2785683267191,85675.1999999525
558,4.28469332671909,85870.7999999524
559,4.28956832671909,86050.7999999523
560,4.29319332671909,86238.3999999522
561,4.30044332671909,86425.9999999521
562,4.30281832671909,86605.999999952
563,4.31131832671909,86832.7999999518
564,4.3149433267191,86965.9999999518
565,4.3198183267191,87122.3999999517
566,4.3259433267191,87294.3999999516
567,4.3283183267191,87427.1999999515
568,4.3331933267191,87591.5999999514
569,4.3368183267191,87771.5999999513
570,4.3440683267191,87935.5999999512
571,4.34894332671909,88099.9999999512
572,4.35256832671909,88264.3999999511
573,4.35744332671909,88436.399999951
574,4.36344332671909,88623.9999999509
575,4.36706832671909,88788.3999999508
576,4.37069332671909,88967.9999999507
577,4.37681832671909,89140.3999999506
578,4.3804433267191,89335.5999999505
579,4.38281832671909,89476.3999999504
580,4.3901933267191,89648.7999999503
581,4.3949433267191,89843.9999999502
582,4.3998183267191,90031.9999999501
583,4.4059433267191,90227.19999995
584,4.4095683267191,90391.5999999499
585,4.4155683267191,90555.9999999498
586,4.42294332671909,90735.5999999497
587,4.42406832671909,90876.3999999496
588,4.42769332671909,91032.7999999495
589,4.43381832671909,91220.7999999494
590,4.43869332671909,91408.3999999493
591,4.44344332671909,91572.7999999492
592,4.44831832671909,91736.7999999491
593,4.4531933267191,91932.399999949
594,4.4591933267191,92057.599999949
595,4.4591933267191,92221.9999999489
596,4.4665683267191,92370.3999999488
597,4.4701933267191,92550.3999999487
598,4.4750683267191,92745.9999999486
599,4.4798183267191,92933.5999999485
600,4.48719332671909,93113.5999999484
601,4.49194332671909,93308.7999999483
602,4.49681832671909,93481.1999999482
603,4.49931832671909,93645.1999999481
604,4.50656832671909,93840.799999948
605,4.51019332671909,94005.1999999479
606,4.51619332671909,94130.3999999478
607,4.5210683267191,94286.7999999477
608,4.5259433267191,94458.7999999476
609,4.5319433267191,94638.7999999475
610,4.5356933267191,94818.3999999474
611,4.5404433267191,94959.1999999474
612,4.5429433267191,95123.5999999473
613,4.5489433267191,95271.9999999472
614,4.5525683267191,95444.3999999471
615,4.5561933267191,95608.399999947
616,4.56356832671909,95788.3999999469
617,4.56719332671909,95968.3999999468
618,4.57206832671909,96171.5999999467
619,4.57569332671909,96343.5999999466
620,4.58169332671909,96515.5999999465
621,4.5865683267191,96687.9999999464
622,4.5878183267191,96812.7999999463
623,4.5950683267191,97008.3999999462
624,4.5999433267191,97188.3999999461
625,4.6059433267191,97368.399999946
626,4.6095683267191,97540.3999999459
627,4.6144433267191,97720.3999999458
628,4.6180683267191,97861.1999999457
629,4.62294332671909,98025.1999999457
630,4.6289433267191,98205.1999999455
631,4.63144332671909,98330.3999999455
632,4.63744332671909,98502.3999999454
633,4.64231832671909,98682.3999999453
634,4.64719332671909,98854.3999999452
635,4.6556933267191,99088.7999999451
636,4.65806832671909,99206.399999945
637,4.6629433267191,99393.9999999449
638,4.6678183267191,99542.7999999448
639,4.6726933267191,99730.3999999447
640,4.6750683267191,99863.1999999446
641,4.6799433267191,100027.599999945
642,4.6859433267191,100207.599999944
643,4.6895683267191,100395.199999944
644,4.6931933267191,100567.199999944
645,4.70056832671909,100739.199999944
646,4.70531832671909,100919.199999944
647,4.71019332671909,101051.999999944
648,4.71506832671909,101224.399999944
649,4.71869332671909,101396.399999944
650,4.7248183267191,101568.399999944
651,4.72956832671909,101748.399999944
652,4.73319332671909,101920.399999943
653,4.7380683267191,102115.999999943
654,4.7465683267191,102287.999999943
655,4.7490683267191,102436.399999943
656,4.7526933267191,102624.399999943
657,4.7574433267191,102811.999999943
658,4.76356832671909,102999.599999943
659,4.7695683267191,103163.999999943
660,4.77331832671909,103359.599999943
661,4.78056832671909,103539.199999943
662,4.78544332671909,103765.999999942
663,4.78781832671909,103914.799999942
664,4.79506832671909,104094.799999942
665,4.79869332671909,104274.399999942
666,4.8035683267191,104454.399999942
667,4.8084433267191,104641.999999942
668,4.8133183267191,104829.999999942
669,4.8193183267191,105009.599999942
670,4.8254433267191,105173.999999942
671,4.8301933267191,105353.999999942
672,4.83394332671909,105510.399999941
673,4.83869332671909,105674.399999941
674,4.84356832671909,105807.599999941
675,4.84844332671909,105971.599999941
676,4.85331832671909,106128.399999941
677,4.86056832671909,106331.599999941
678,4.85931832671909,106448.799999941
679,4.8678183267191,106644.399999941
680,4.8714433267191,106808.799999941
681,4.8775683267191,106972.799999941
682,4.8835683267191,107129.199999941
683,4.8860683267191,107269.999999941
684,4.8908183267191,107449.99999994
685,4.8969433267191,107621.99999994
686,4.9005683267191,107786.39999994
687,4.90544332671909,107942.79999994
688,4.91269332671909,108177.59999994
689,4.91631832671909,108271.19999994
690,4.91994332671909,108443.19999994
691,4.92356832671909,108576.39999994
692,4.92969332671909,108779.59999994
693,4.93331832671909,108904.79999994
694,4.9369433267191,109092.39999994
695,4.9418183267191,109272.399999939
696,4.9490683267191,109436.799999939
697,4.9539433267191,109600.799999939
698,4.9575683267191,109780.799999939
699,4.9611933267191,109905.999999939
700,4.9684433267191,110085.999999939
701,4.9720683267191,110249.999999939
702,4.97694332671909,110437.599999939
703,4.98294332671909,110586.399999939
704,4.98781832671909,110766.399999939
705,4.99269332671909,110938.399999938
706,4.99631832671909,111118.399999938
707,5.00119332671909,111305.999999938
708,5.0096933267191,111532.799999938
709,5.0145683267191,111649.999999938
710,5.0205683267191,111861.199999938
711,5.0218183267191,111994.399999938
712,5.0290683267191,112166.399999938
713,5.0326933267191,112338.399999938
714,5.03881832671909,112494.799999938
715,5.04481832671909,112697.999999938
716,5.04731832671909,112815.599999937
