R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
1.19,33.62338,0.09906249,1.19,51.07562,0.09906249,1.19,75.00648,0.09905,1.19,75.61684,0.099075,1.19,54.31811,0.09905,1.19,57.90075,0.09905
1.2,34.15108,0.0999,1.2,51.58107,0.0999,1.2,75.68678,0.0998875,1.2,76.06188,0.09991249,1.2,54.92846,0.099875,1.2,58.40619,0.099875
1.21,34.67242,0.100725,1.21,52.07698,0.1007375,1.21,76.34481,0.100725,1.21,76.49422,0.10075,1.21,55.53563,0.1007,1.21,58.93707,0.1006875
1.22,35.1874,0.10155,1.22,52.56653,0.1015875,1.22,77.00602,0.10155,1.22,76.92973,0.101575,1.22,56.14281,0.1015625,1.22,59.45206,0.1015125
1.23,35.7151,0.102375,1.23,53.06244,0.102425,1.23,77.68313,0.102375,1.23,77.38432,0.1024,1.23,56.73409,0.1024,1.23,59.93525,0.10235
1.24,36.27777,0.1032125,1.24,53.55199,0.1032625,1.24,78.37931,0.1032,1.24,77.84525,0.103225,1.24,57.30311,0.1032375,1.24,60.41209,0.1032
1.25,36.87541,0.10405,1.25,54.01929,0.1040875,1.25,79.06596,0.1040375,1.25,78.30302,0.1040375,1.25,57.85624,0.1040875,1.25,60.89211,0.1040375
1.26,37.47304,0.1049,1.26,54.47388,0.1049125,1.26,79.72717,0.1048625,1.26,78.74807,0.10485,1.26,58.40619,0.104925,1.26,61.39755,0.1048875
1.27,38.05161,0.10575,1.27,54.92846,0.1057375,1.27,80.39156,0.1056875,1.27,79.18676,0.1057,1.27,58.96568,0.10575,1.27,61.91254,0.1057125
1.28,38.64288,0.1065875,1.28,55.37351,0.10655,1.28,81.06867,0.1065375,1.28,79.64134,0.106525,1.28,59.54107,0.1065875,1.28,62.41798,0.1065625
1.29,39.25323,0.107425,1.29,55.80266,0.107375,1.29,81.78075,0.1073875,1.29,80.11818,0.1073625,1.29,60.1387,0.1074125,1.29,62.91708,0.107375
1.3,39.86995,0.10825,1.3,56.23182,0.1082125,1.3,82.48647,0.1082375,1.3,80.5823,0.1082125,1.3,60.75859,0.10825,1.3,63.43842,0.1082125
1.31,40.50255,0.109075,1.31,56.66415,0.1090625,1.31,83.16994,0.109075,1.31,81.02099,0.1090625,1.31,61.39755,0.1090625,1.31,63.9979,0.1090625
1.32,41.12244,0.1099,1.32,57.11238,0.1099,1.32,83.83433,0.1099,1.32,81.4565,0.1098875,1.32,62.0079,0.109875,1.32,64.56375,0.1099
1.33,41.7455,0.11075,1.33,57.5765,0.1107375,1.33,84.51144,0.110725,1.33,81.91744,0.110725,1.33,62.57375,0.1107125,1.33,65.09781,0.1107375
1.34,42.37811,0.1115875,1.34,58.05333,0.111575,1.34,85.19491,0.11155,1.34,82.407,0.11155,1.34,63.13006,0.11155,1.34,65.60007,0.111575
1.35,43.01707,0.1124125,1.35,58.52699,0.1124125,1.35,85.87202,0.1123875,1.35,82.89655,0.1123875,1.35,63.68955,0.1124,1.35,66.11506,0.112425
1.36,43.63378,0.11325,1.36,59.02608,0.1132375,1.36,86.52369,0.1132375,1.36,83.37021,0.113225,1.36,64.24904,0.11325,1.36,66.65865,0.1132625
1.37,44.24731,0.1140875,1.37,59.51245,0.11405,1.37,87.15311,0.1140625,1.37,83.83115,0.1140625,1.37,64.80535,0.114075,1.37,67.19907,0.1140875
