"C35",,
"Temps","Force","Stroke"
"sec","N","mm"
"4.27","197.5536","0.3557125"
"4.28","202.5986","0.3565375"
"4.29","207.6276","0.3573875"
"4.3","212.6535","0.3582375"
"4.31","217.6984","0.359075"
"4.32","222.7815","0.3599125"
"4.33","227.9027","0.36075"
"4.34","233.0621","0.361575"
"4.35","238.2342","0.3623875"
"4.36","243.4031","0.363225"
"4.37","248.518","0.3640625"
"4.38","253.582","0.3649"
"4.39","258.6174","0.365725"
"4.4","263.6687","0.3665625"
"4.41","268.7454","0.3674125"
"4.42","273.8317","0.3682375"
"4.43","278.9307","0.36905"
"4.44","284.0519","0.369875"
"4.45","289.189","0.3707125"
"4.46","294.3071","0.3715375"
"4.47","299.3902","0.372375"
"4.48","304.4669","0.3732"
"4.49","309.5627","0.3740375"
"4.5","314.6903","0.3748875"
"4.51","319.8337","0.3757375"
"4.52","324.9868","0.376575"
"4.53","330.1652","0.3774125"
"4.54","335.3882","0.3782375"
"4.55","340.627","0.3790625"
"4.56","345.85","0.3799"
"4.57","351.0475","0.3807375"
"4.58","356.2355","0.381575"
"4.59","361.4235","0.3824125"
"4.6","366.6115","0.38325"
"4.61","371.7995","0.3841"
"4.62","377.0034","0.384925"
"4.63","382.2263","0.3857625"
"4.64","387.4588","0.3865875"
"4.65","392.669","0.3874"
"4.66","397.8348","0.388225"
"4.67","402.9783","0.3890375"
"4.68","408.0995","0.389875"
"4.69","413.1921","0.390725"
"4.7","418.2816","0.391575"
"4.71","423.3773","0.3924125"
"4.72","428.5208","0.3932625"
"4.73","433.7216","0.3940875"
"4.74","438.9572","0.3949125"
"4.75","444.1611","0.3957375"
"4.76","449.3014","0.396575"
"4.77","454.4036","0.3974125"
"4.78","459.5057","0.39825"
"4.79","464.6047","0.3990875"
"4.8","469.7005","0.399925"
"4.81","474.8026","0.4007625"
"4.82","479.9143","0.4016"
"4.83","485.0324","0.4024125"
"4.84","490.1409","0.4032375"
"4.85","495.2431","0.4040625"
"4.86","500.3293","0.404875"
"4.87","505.3552","0.4057"
"4.88","510.327","0.406525"
"4.89","515.2703","0.407375"
"4.9","520.2389","0.4082125"
"4.91","525.233","0.4090625"
"4.92","530.2715","0.4099"
"4.93","535.3356","0.410725"
"4.94","540.4122","0.4115375"
"4.95","545.4922","0.412375"
"4.96","550.5435","0.4132125"
"4.97","555.5693","0.41405"
"4.98","560.5793","0.4148875"
"4.99","565.6179","0.415725"
"5","570.6946","0.4165625"
"5.01","575.7841","0.4174"
"5.02","580.8926","0.4182375"
"5.03","586.0138","0.419075"
"5.04","591.1223","0.4199125"
"5.05","596.2086","0.4207375"
"5.06","601.2853","0.4215625"
"5.07","606.343","0.4223875"
"5.08","611.3688","0.4232125"
"5.09","616.3915","0.4240625"
"5.1","621.4078","0.4249125"
"5.11","626.4274","0.4257625"
"5.12","631.4755","0.4266"
"5.13","636.5712","0.427425"
"5.14","641.6893","0.42825"
"5.15","646.801","0.4290625"
"5.16","651.8936","0.4299"
"5.17","656.9354","0.430725"
"5.18","661.9167","0.4315625"
"5.19","666.8854","0.4324"
"5.2","671.8826","0.4332375"
"5.21","676.9149","0.4340875"
"5.22","681.9756","0.4349125"
"5.23","687.0524","0.4357375"
"5.24","692.1292","0.4365625"
