S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
320;32.0000409599998;-0.0521639063954353;0.00139999995008111;-2.66306376457214;
321;32.1000652799994;-0.0539452396333218;0.00150000001303852;-2.67151021957397;
322;32.2000896;-0.0527488216757774;0.00139999995008111;-2.68007040023804;
323;32.3001139199996;-0.0533071495592594;0.00150000001303852;-2.68859839439392;
324;32.40001536;-0.053998414427042;0.00150000001303852;-2.69710993766785;
325;32.5000396799996;-0.0547162666916847;0.00139999995008111;-2.70519828796387;
326;32.6000639999993;-0.0519777946174145;0.0015999999595806;-2.71331906318665;
327;32.7000883199999;-0.0542642846703529;0.00150000001303852;-2.72157025337219;
328;32.8001126399995;-0.0544503964483738;0.00150000001303852;-2.72973990440369;
329;32.9000140799999;-0.0531210415065289;0.00150000001303852;-2.73818635940552;
330;33.0000383999995;-0.055061899125576;0.00150000001303852;-2.74671411514282;
331;33.1000627199992;-0.0527754090726376;0.00150000001303852;-2.75519323348999;
332;33.2000870399997;-0.0554341189563274;0.00139999995008111;-2.76378607749939;
333;33.3001113599994;-0.0531742163002491;0.0015999999595806;-2.77180933952332;
334;33.4000127999998;-0.0557265765964985;0.00139999995008111;-2.77997922897339;
335;33.5000371199994;-0.0535198487341404;0.00139999995008111;-2.7881326675415;
336;33.60006144;-0.0536793693900108;0.00139999995008111;-2.79620480537415;
337;33.7000857599996;-0.0537857189774513;0.00150000001303852;-2.80466747283936;
338;33.8001100799993;-0.055274598300457;0.00139999995008111;-2.81335806846619;
339;33.9000115199997;-0.0543706342577934;0.00139999995008111;-2.82180428504944;
340;34.0000358399993;-0.0544238090515137;0.0015999999595806;-2.8304135799408;
341;34.1000601599999;-0.0535464361310005;0.00139999995008111;-2.83856701850891;
342;34.2000844799995;-0.0542908720672131;0.00150000001303852;-2.84689950942993;
343;34.3001087999992;-0.052084144204855;0.00139999995008111;-2.85508561134338;
344;34.4000102399996;-0.0548226162791252;0.0015999999595806;-2.86315774917603;
345;34.5000345599992;-0.0546099171042442;0.00139999995008111;-2.87153887748718;
346;34.6000588799998;-0.0538388937711716;0.00150000001303852;-2.88003420829773;
347;34.7000831999994;-0.0538123063743114;0.00150000001303852;-2.88852953910828;
348;34.80010752;-0.0526690594851971;0.00139999995008111;-2.89717125892639;
349;34.9000089599995;-0.0540515892207623;0.0015999999595806;-2.90532469749451;
350;35.00003328;-0.0549289658665657;0.00139999995008111;-2.91344571113586;
351;35.1000575999997;-0.0530678667128086;0.0015999999595806;-2.92156648635864;
352;35.2000819199993;-0.0544769838452339;0.00139999995008111;-2.92963862419128;
353;35.3001062399999;-0.0535198487341404;0.00130000000353903;-2.93808507919312;
354;35.4000076799994;-0.0550353117287159;0.0015999999595806;-2.94664549827576;
355;35.5000319999999;-0.0517650991678238;0.00139999995008111;-2.95520567893982;
356;35.6000563199996;-0.0541845262050629;0.00150000001303852;-2.96373343467712;
