"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"1.01","533.7969","0.08405","0.004323324","1.01","530.7452","0.084025","0.005531311","1.01","323.2225","0.08406249","0.002352397"
"1.02","537.8882","0.0848625","0.005912781","1.02","533.1643","0.0848625","0.005912781","1.02","325.1775","0.0848875","0.002352397"
"1.03","541.9731","0.0857","0.007947286","1.03","535.5676","0.0857125","0.005912781","1.03","327.0817","0.08572499","0.002733866"
"1.04","546.0421","0.0865375","0.008328755","1.04","537.9899","0.086575","0.005912781","1.04","328.9763","0.0865625","0.002733866"
"1.05","550.0984","0.087375","0.007502238","1.05","540.4345","0.0874125","0.005912781","1.05","330.8614","0.08738749","0.002733866"
"1.06","554.1229","0.0882125","0.006357829","1.06","542.9204","0.08825","0.005912781","1.06","332.7242","0.08823749","0.002733866"
"1.07","558.1188","0.08904999","0.006357829","1.07","545.4413","0.089075","0.005912781","1.07","334.5839","0.089075","0.003178914"
"1.08","562.0861","0.0898875","0.005912781","1.08","547.9558","0.0898875","0.005912781","1.08","336.4785","0.0899125","0.002733866"
"1.09","566.0566","0.090725","0.005912781","1.09","550.4322","0.0907125","0.005912781","1.09","338.4018","0.090725","0.002733866"
"1.1","570.062","0.09156249","0.005531311","1.1","552.8609","0.09156249","0.006739298","1.1","340.3219","0.09155","0.002733866"
"1.11","574.1119","0.0923875","0.005531311","1.11","555.2514","0.09241249","0.006739298","1.11","342.207","0.092375","0.002733866"
"1.12","578.181","0.0932125","0.005531311","1.12","557.6102","0.0932375","0.006739298","1.12","344.0475","0.0932","0.002733866"
"1.13","582.2468","0.0940375","0.006357829","1.13","559.9594","0.09407499","0.006739298","1.13","345.8341","0.094025","0.003178914"
"1.14","586.2872","0.0948625","0.007120768","1.14","562.3277","0.0949125","0.006739298","1.14","347.5984","0.09485","0.002733866"
"1.15","590.3244","0.0957","0.006739298","1.15","564.7119","0.0957625","0.006739298","1.15","349.369","0.095675","0.003178914"
"1.16","594.3616","0.0965375","0.006739298","1.16","567.077","0.09658749","0.007120768","1.16","351.1429","0.096525","0.003178914"
"1.17","598.3861","0.09739999","0.006739298","1.17","569.4103","0.0974125","0.007120768","1.17","352.8849","0.097375","0.003178914"
"1.18","602.417","0.09824999","0.008328755","1.18","571.7182","0.0982375","0.007120768","1.18","354.6206","0.0982125","0.003178914"
"1.19","606.4733","0.0990875","0.009155273","1.19","574.0007","0.09905","0.006739298","1.19","356.3913","0.09905","0.003178914"
"1.2","610.5709","0.099925","0.009536743","1.2","576.2641","0.099875","0.006739298","1.2","358.2064","0.099875","0.003178914"
"1.21","614.6971","0.10075","0.009155273","1.21","578.5084","0.1007","0.007120768","1.21","360.0089","0.1007","0.003178914"
"1.22","618.852","0.1015625","0.008710225","1.22","580.7368","0.101525","0.007120768","1.22","361.7668","0.10155","0.003178914"
"1.23","623.0037","0.1023875","0.008710225","1.23","582.9493","0.102375","0.007120768","1.23","363.4803","0.1023875","0.003178914"
"1.24","627.1108","0.103225","0.008328755","1.24","585.1619","0.1032125","0.007120768","1.24","365.1555","0.103225","0.002733866"
"1.25","631.1608","0.1040625","0.008328755","1.25","587.3934","0.10405","0.007947286","1.25","366.834","0.1040625","0.002733866"
"1.26","635.1725","0.1048875","0.008710225","1.26","589.6378","0.1048875","0.008328755","1.26","368.5379","0.1049","0.002733866"
"1.27","639.1589","0.105725","0.009155273","1.27","591.8853","0.1057125","0.007947286","1.27","370.245","0.1057375","0.002733866"
"1.28","643.1484","0.1065625","0.009155273","1.28","594.1232","0.10655","0.007947286","1.28","371.9298","0.106575","0.002733866"
"1.29","647.1507","0.1074","0.009536743","1.29","596.3357","0.1073625","0.007502238","1.29","373.5987","0.1074125","0.003178914"
"1.3","651.1625","0.1082375","0.009918213","1.3","598.5387","0.1082125","0.007947286","1.3","375.2708","0.1082375","0.003560384"
"1.31","655.1616","0.10905","0.009918213","1.31","600.7195","0.10905","0.008328755","1.31","376.943","0.10905","0.003178914"
"1.32","659.1575","0.1098875","0.009918213","1.32","602.8811","0.1098875","0.008328755","1.32","378.5833","0.109875","0.003178914"
"1.33","663.1692","0.1107","0.009536743","1.33","605.0555","0.110725","0.008710225","1.33","380.1791","0.1107","0.002733866"
"1.34","667.1746","0.111525","0.009536743","1.34","607.2426","0.1115625","0.008710225","1.34","381.7527","0.111525","0.002733866"
"1.35","671.1547","0.11235","0.009536743","1.35","609.4329","0.1124","0.009155273","1.35","383.3389","0.11235","0.002733866"
"1.36","675.0965","0.113175","0.009918213","1.36","611.6009","0.1132375","0.009536743","1.36","384.9443","0.1132","0.002733866"
"1.37","679.0002","0.114025","0.01029968","1.37","613.7498","0.1140625","0.009536743","1.37","386.5655","0.11405","0.002733866"
"1.38","682.9071","0.114875","0.01074473","1.38","615.8956","0.1149","0.009918213","1.38","388.1931","0.1149","0.003178914"
"1.39","686.8299","0.1157125","0.01074473","1.39","618.0318","0.115725","0.009918213","1.39","389.8176","0.115725","0.003178914"
"1.4","690.8099","0.1165625","0.01074473","1.4","620.1331","0.11655","0.009918213","1.4","391.4547","0.11655","0.003560384"
"1.41","694.8535","0.117375","0.01074473","1.41","622.2057","0.117375","0.009918213","1.41","393.1014","0.117375","0.003178914"
"1.42","698.9129","0.1182","0.01029968","1.42","624.2657","0.1182","0.01029968","1.42","394.7385","0.1182125","0.003178914"
"1.43","702.9343","0.1190375","0.01029968","1.43","626.3256","0.11905","0.01029968","1.43","396.3407","0.11905","0.002733866"
"1.44","706.8761","0.119875","0.009918213","1.44","628.3633","0.1199125","0.01029968","1.44","397.8952","0.1198875","0.002733866"
"1.45","710.7512","0.1207","0.009918213","1.45","630.3882","0.12075","0.01029968","1.45","399.4211","0.1207125","0.002733866"
"1.46","714.6104","0.1215375","0.009155273","1.46","632.445","0.1215875","0.009918213","1.46","400.9469","0.1215625","0.002352397"
"1.47","718.4633","0.122375","0.009155273","1.47","634.5399","0.1224","0.009918213","1.47","402.5046","0.1224125","0.002352397"
"1.48","722.3351","0.1232125","0.009155273","1.48","636.638","0.123225","0.009918213","1.48","404.0941","0.12325","0.002733866"
