Brut 1,,,Brut 2,,,Recuit,,,Recuit test 250°C,,,Etiré test amb,,,Etiré test 250°C,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
0.55,-0.03178914,0.0457375,0.55,0.03814697,0.0457375,0.55,0.03496806,0.0457,0.55,27.21786,0.0457,0.55,0.07311503,0.04575,0.55,12.30876,0.0457
0.56,-0.01271566,0.0465875,0.56,0.04768372,0.046575,0.56,0.01907349,0.046525,0.56,28.1016,0.0465375,0.56,0.06039937,0.046575,0.56,12.30558,0.0465375
0.57,0.0222524,0.0474375,0.57,0.06039937,0.0474125,0.57,-0.003178914,0.04735,0.57,29.04256,0.047375,0.57,0.04768372,0.0474125,0.57,12.34055,0.0473625
0.58,0.05404155,0.048275,0.58,0.04768372,0.0482375,0.58,-0.01271566,0.0482,0.58,29.96127,0.0482125,0.58,0.03814697,0.0482375,0.58,12.36916,0.0482
0.59,0.06993612,0.0491125,0.59,0.009536743,0.0490625,0.59,-0.0222524,0.0490375,0.59,30.87997,0.049025,0.59,0.0222524,0.04905,0.59,12.34055,0.049025
0.6,0.06357829,0.0499375,0.6,-0.03178914,0.0499,0.6,-0.0222524,0.0498875,0.6,31.8559,0.0498625,0.6,0.01271566,0.0498875,0.6,12.29286,0.0498625
0.61,0.04768372,0.0507625,0.61,-0.04768372,0.050725,0.61,-0.01271566,0.0507375,0.61,32.86044,0.0506875,0.61,0.01907349,0.05075,0.61,12.30558,0.0507
0.62,0.04768372,0.051575,0.62,-0.02543131,0.05155,0.62,0.003178914,0.051575,0.62,33.82683,0.0515,0.62,0.02861023,0.0516,0.62,12.33101,0.05155
0.63,0.05404155,0.052425,0.63,0.0222524,0.0524,0.63,0.01907349,0.0524,0.63,34.76143,0.052325,0.63,0.009536743,0.0524375,0.63,12.29922,0.0524
0.64,0.04768372,0.0532625,0.64,0.06993612,0.0532375,0.64,0.03814697,0.0532125,0.64,35.71193,0.0531625,0.64,-0.01271566,0.053275,0.64,12.26425,0.0532375
0.65,0.02861023,0.054075,0.65,0.06039937,0.0540875,0.65,0.06039937,0.0540625,0.65,36.69103,0.0540125,0.65,-0.003178914,0.0541125,0.65,12.28968,0.0540625
0.66,0.02861023,0.054925,0.66,0.009536743,0.054925,0.66,0.06993612,0.054875,0.66,37.6606,0.05485,0.66,0.05404155,0.054925,0.66,12.33101,0.0548875
0.67,0.04768372,0.05575,0.67,-0.04132589,0.0557625,0.67,0.06039937,0.0557125,0.67,38.62063,0.0556875,0.67,0.09854635,0.05575,0.67,12.31511,0.055725
0.68,0.06993612,0.0565875,0.68,-0.04132589,0.0566,0.68,0.03496806,0.05655,0.68,39.61881,0.0565375,0.68,0.1080831,0.0565875,0.68,12.28015,0.0565625
0.69,0.07947286,0.0574125,0.69,-0.0222524,0.0574125,0.69,0.01271566,0.0573875,0.69,40.64878,0.057375,0.69,0.08583069,0.0574125,0.69,12.24518,0.0574
0.7,0.07947286,0.0582375,0.7,-0.006357829,0.0582625,0.7,0.003178914,0.058225,0.7,41.65967,0.0582,0.7,0.05404155,0.0582375,0.7,12.21339,0.0582375
0.71,0.07311503,0.0590625,0.71,-0.003178914,0.0590875,0.71,0.01271566,0.0590625,0.71,42.64832,0.059025,0.71,0.03814697,0.059075,0.71,12.17842,0.059075
0.72,0.06357829,0.0598875,0.72,0.01271566,0.0599125,0.72,0.0222524,0.0598875,0.72,43.67511,0.059875,0.72,0.02861023,0.0599125,0.72,12.19432,0.0599
0.73,0.04768372,0.060725,0.73,0.0222524,0.0607625,0.73,0.01907349,0.0607125,0.73,44.72097,0.0607125,0.73,0.0222524,0.06075,0.73,12.26425,0.0607375
0.74,0.03814697,0.06155,0.74,0.0222524,0.0615875,0.74,0.009536743,0.0615375,0.74,45.72232,0.06155,0.74,0.009536743,0.061575,0.74,12.31829,0.061575
0.75,0.04768372,0.0623875,0.75,0.0222524,0.062425,0.75,-0.003178914,0.062375,0.75,46.69507,0.0623875,0.75,-0.01271566,0.0624125,0.75,12.32465,0.0624125
0.76,0.06357829,0.063225,0.76,0.02861023,0.0632625,0.76,-0.006357829,0.06318749,0.76,47.71869,0.0632375,0.76,-0.03178914,0.063225,0.76,12.32465,0.063225
0.77,0.06993612,0.0640875,0.77,0.03814697,0.0640875,0.77,-0.01271566,0.064025,0.77,48.78362,0.064075,0.77,-0.03178914,0.0640625,0.77,12.35326,0.06405
0.78,0.06357829,0.064925,0.78,0.03814697,0.0649125,0.78,-0.003178914,0.0648625,0.78,49.82948,0.0649,0.78,-0.02543131,0.0648875,0.78,12.35326,0.064875
0.79,0.06357829,0.0657625,0.79,0.02861023,0.06575,0.79,0.01271566,0.0657125,0.79,50.86581,0.0657375,0.79,-0.0222524,0.0657125,0.79,12.28968,0.0656875
0.8,0.06993612,0.06659999,0.8,0.01907349,0.0665625,0.8,0.01271566,0.0665625,0.8,51.9371,0.066575,0.8,-0.006357829,0.0665375,0.8,12.23246,0.066525
0.81,0.06993612,0.067425,0.81,-0.003178914,0.0674,0.81,0.009536743,0.0674,0.81,53.02111,0.0673875,0.81,0.01907349,0.0673875,0.81,12.26425,0.06735
0.82,0.07311503,0.06825,0.82,-0.02543131,0.068225,0.82,0.003178914,0.068225,0.82,54.06697,0.0682,0.82,0.03814697,0.06825,0.82,12.30876,0.0682
0.83,0.07947286,0.0690875,0.83,-0.05722046,0.0690625,0.83,0.009536743,0.0690625,0.83,55.09059,0.06902499,0.83,0.02861023,0.0690875,0.83,12.28968,0.06905
0.84,0.09536743,0.069925,0.84,-0.06357829,0.0699125,0.84,0.009536743,0.0698875,0.84,56.15552,0.06985,0.84,0.01271566,0.0699375,0.84,12.23882,0.0698875
0.85,0.1144409,0.0707625,0.85,-0.04132589,0.0707625,0.85,0.01907349,0.0707,0.85,57.24589,0.0706875,0.85,0.01271566,0.0707625,0.85,12.23882,0.070725
0.86,0.1207987,0.0715875,0.86,-0.006357829,0.0716,0.86,0.0445048,0.0715625,0.86,58.27904,0.071525,0.86,0.0222524,0.0715875,0.86,12.24518,0.07155
0.87,0.1144409,0.072425,0.87,0.01271566,0.07243749,0.87,0.06039937,0.0724,0.87,59.26132,0.072375,0.87,0.009536743,0.0724125,0.87,12.21339,0.072375
0.88,0.1207987,0.073275,0.88,0.0222524,0.0732625,0.88,0.05404155,0.0732375,0.88,60.28493,0.0732125,0.88,-0.01589457,0.0732625,0.88,12.19432,0.073225
0.89,0.1303355,0.0741,0.89,0.01271566,0.074075,0.89,0.04768372,0.074075,0.89,61.36894,0.07405,0.89,-0.03814697,0.0740875,0.89,12.23246,0.0740625
0.9,0.1207987,0.074925,0.9,0.01907349,0.0749,0.9,0.05404155,0.0749125,0.9,62.43706,0.074875,0.9,-0.03178914,0.074925,0.9,12.25789,0.0748875
0.91,0.07311503,0.07575,0.91,0.03496806,0.0757625,0.91,0.06357829,0.0757375,0.91,63.46067,0.0757,0.91,-0.01589457,0.0757625,0.91,12.20703,0.0757375
0.92,0.01271566,0.0765625,0.92,0.05404155,0.0765875,0.92,0.06993612,0.076575,0.92,64.52879,0.07655,0.92,-0.006357829,0.0766,0.92,12.14345,0.0765875
0.93,-0.03178914,0.0773875,0.93,0.04768372,0.0774375,0.93,0.06039937,0.0774,0.93,65.63822,0.07737499,0.93,-0.006357829,0.077425,0.93,12.1371,0.077425
0.94,-0.06357829,0.0782,0.94,0.03496806,0.078275,0.94,0.05404155,0.0782125,0.94,66.72541,0.0782125,0.94,0.01271566,0.0782625,0.94,12.15299,0.07825
0.95,-0.06357829,0.07903749,0.95,0.01907349,0.0791125,0.95,0.06039937,0.07903749,0.95,67.76174,0.0790625,0.95,0.05404155,0.0790875,0.95,12.1212,0.0790875
0.96,-0.03814697,0.079875,0.96,0.009536743,0.07995,0.96,0.0445048,0.0798625,0.96,68.82349,0.0799,0.96,0.08583069,0.0799125,0.96,12.0608,0.0799125
0.97,-0.01589457,0.080725,0.97,-0.006357829,0.080775,0.97,0.009536743,0.0806875,0.97,69.9234,0.08075,0.97,0.08900961,0.080725,0.97,12.05126,0.080725
0.98,-0.01271566,0.0815625,0.98,-0.02543131,0.0815875,0.98,-0.01589457,0.081525,0.98,71.01694,0.081575,0.98,0.07947286,0.08154999,0.98,12.0767,0.08154999
0.99,0.009536743,0.0824,0.99,-0.04768372,0.0824125,0.99,-0.01271566,0.082375,0.99,72.08824,0.0824125,0.99,0.06039937,0.082375,0.99,12.09577,0.082375
1,0.05404155,0.0832375,1,-0.04132589,0.083225,1,0.009536743,0.083225,1,73.20722,0.0832375,1,0.03496806,0.0832,1,12.13392,0.0832
1.01,0.07311503,0.08406249,1.01,-0.02543131,0.08406249,1.01,0.02861023,0.08405,1.01,74.36117,0.08405,1.01,0.0222524,0.0840375,1.01,12.20385,0.0840375
1.02,0.0445048,0.0848875,1.02,-0.01271566,0.0849,1.02,0.03814697,0.0848875,1.02,75.44836,0.084875,1.02,0.03814697,0.0848875,1.02,12.25471,0.0849
1.03,0.01271566,0.0857375,1.03,0.003178914,0.0857375,1.03,0.0445048,0.08572499,1.03,76.45607,0.0857,1.03,0.06357829,0.0857375,1.03,12.22928,0.0857375
1.04,0.01907349,0.086575,1.04,0.0222524,0.086575,1.04,0.0445048,0.0865375,1.04,77.48922,0.086525,1.04,0.06993612,0.086575,1.04,12.18796,0.086575
1.05,0.05404155,0.0874125,1.05,0.05404155,0.087425,1.05,0.0222524,0.08738749,1.05,78.58912,0.087375,1.05,0.06357829,0.0874,1.05,12.19749,0.0874
1.06,0.07311503,0.0882625,1.06,0.07311503,0.0882625,1.06,-0.01271566,0.088225,1.06,79.69538,0.08823749,1.06,0.07311503,0.08823749,1.06,12.23882,0.088225
1.07,0.06039937,0.0891,1.07,0.07311503,0.0891,1.07,-0.03178914,0.08904999,1.07,80.77303,0.0890625,1.07,0.08583069,0.0890625,1.07,12.23246,0.08904999
1.08,0.02861023,0.0899375,1.08,0.05404155,0.089925,1.08,-0.0222524,0.0898875,1.08,81.88566,0.08989999,1.08,0.06993612,0.0899125,1.08,12.19749,0.0898875
1.09,0.01907349,0.090775,1.09,0.01271566,0.0907375,1.09,0.003178914,0.090725,1.09,83.03642,0.090725,1.09,0.0445048,0.09075,1.09,12.20703,0.090725
1.1,0.03814697,0.0916,1.1,-0.0222524,0.0915875,1.1,0.01271566,0.09156249,1.1,84.16811,0.09155,1.1,0.01907349,0.0915875,1.1,12.24836,0.09156249
1.11,0.06039937,0.092425,1.11,-0.03178914,0.092425,1.11,0.01271566,0.0924,1.11,85.2553,0.0923625,1.11,-0.01271566,0.092425,1.11,12.22928,0.0924
1.12,0.04768372,0.0932375,1.12,-0.0222524,0.09325,1.12,0.009536743,0.09322499,1.12,86.33932,0.0932125,1.12,-0.02543131,0.0932625,1.12,12.15617,0.0932375
1.13,0.03814697,0.09407499,1.13,0.003178914,0.0940875,1.13,-0.006357829,0.09405,1.13,87.44875,0.0940375,1.13,0.003178914,0.0941,1.13,12.13392,0.09407499
1.14,0.04768372,0.0949,1.14,0.02861023,0.094925,1.14,-0.03178914,0.094875,1.14,88.54548,0.094875,1.14,0.04768372,0.0949375,1.14,12.16253,0.0949125
1.15,0.07311503,0.095725,1.15,0.04768372,0.0957625,1.15,-0.05722046,0.0956875,1.15,89.62949,0.0957125,1.15,0.07947286,0.095775,1.15,12.16888,0.09573749
1.16,0.08900961,0.09655,1.16,0.05404155,0.0966,1.16,-0.05722046,0.096525,1.16,90.74847,0.09655,1.16,0.06993612,0.0966,1.16,12.1212,0.0965625
1.17,0.07947286,0.0974125,1.17,0.06039937,0.097425,1.17,-0.03178914,0.09734999,1.17,91.88017,0.097375,1.17,0.06039937,0.0974125,1.17,12.11166,0.09739999
1.18,0.06993612,0.09824999,1.18,0.06357829,0.0982625,1.18,0.003178914,0.0981875,1.18,92.96417,0.0982125,1.18,0.06039937,0.098225,1.18,12.17206,0.0982125
1.19,0.06993612,0.099075,1.19,0.06357829,0.099075,1.19,0.01907349,0.0990375,1.19,94.01003,0.09905,1.19,0.06993612,0.09906249,1.19,12.20385,0.0990375
1.2,0.06993612,0.09991249,1.2,0.05404155,0.0999,1.2,0.01907349,0.0998875,1.2,95.10676,0.099875,1.2,0.07311503,0.0998875,1.2,12.15299,0.099875
1.21,0.04768372,0.1007375,1.21,0.05404155,0.100725,1.21,0.02861023,0.100725,1.21,96.2607,0.1007,1.21,0.06993612,0.100725,1.21,12.11802,0.1007125
1.22,0.0222524,0.1015625,1.22,0.04768372,0.10155,1.22,0.03814697,0.10155,1.22,97.37015,0.101525,1.22,0.05404155,0.101575,1.22,12.15299,0.10155
1.23,0.0222524,0.1024,1.23,0.03496806,0.1023875,1.23,0.0445048,0.1023875,1.23,98.44144,0.10235,1.23,0.04768372,0.102425,1.23,12.18796,0.1024
1.24,0.02861023,0.1032375,1.24,0.01907349,0.1032375,1.24,0.03496806,0.1032125,1.24,99.54453,0.1031875,1.24,0.05404155,0.10325,1.24,12.15299,0.1032375
1.25,0.03496806,0.104075,1.25,0.0222524,0.104075,1.25,0.03814697,0.1040375,1.25,100.6921,0.1040375,1.25,0.04768372,0.1040875,1.25,12.11802,0.104075
1.26,0.03814697,0.1049125,1.26,0.05404155,0.104925,1.26,0.05404155,0.1049,1.26,101.8175,0.104875,1.26,0.01907349,0.1049125,1.26,12.16253,0.1049
1.27,0.0445048,0.1057375,1.27,0.08900961,0.10575,1.27,0.04768372,0.1057125,1.27,102.9046,0.105725,1.27,-0.01589457,0.105725,1.27,12.22293,0.1057125
